,DATE,COUNTRY,PROVINCE,DISTRICT,MUNICIPALITY,TOWN,FEEDBACK CHANNEL,SEX,AGE RANGE,Other DIVERSITY factors,LANGUAGE,FEEDBACK COMMENT,TRANSLATED FEEDBACK COMMENT,NUMBER OF TIMES,FEEDBACK TYPE,CATEGORY,CODE,SENSITIVITY,CRITICALITY,OPERATION,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
0,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Mhlasini,Verulam,Key informant interview,Male,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,"There is a strike that affects the ward this side because roads ars closed, people need water and electricity","There is a strike that affects the ward this side because roads ars closed, people need water and electricity",5,Observation_Perception_Or_Belief,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
1,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Mhlasini,Verulam,Key informant interview,Male,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,The ward councellor and the ward communities are doing well with the help of the humanitarian organizations,The ward councellor and the ward communities are doing well with the help of the humanitarian organizations,10,Encouragement_Praise,Appreciation_of_response_actors,Appreciation_of_response_actors,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
2,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Mhlasini,Verulam,Key informant interview,Male,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,We get help mostly from Red Cross,We get help mostly from Red Cross,20,Encouragement_Praise,Appreciation_of_response_actors,Appreciation_of_response_actors,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
3,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Mhlasini,Verulam,Key informant interview,Male,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,"The municipality is helping with water, water is sufficient for bathing, cooking.","The municipality is helping with water, water is sufficient for bathing, cooking.",5,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of activities services,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
4,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Ethekwini,Mhlasini,Community meeting,Mixed,Adults_18_59_Years_Old,Ethnic_Minority Pregnant_Lactating_Women Women Children,isiZulu,We need male clothes,We need male clothes,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
5,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Ward 60 Emhlasini,Structured interview,Female,Adults_18_59_Years_Old,Ethnic_Minority Women,isiZulu,People to be provided immediately with permanent houses because it not safe to live in halls and people are scared that they might be attacked,People to be provided immediately with permanent houses because it not safe to live in halls and people are scared that they might be attacked,2,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,To_be_clarified,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
6,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Mhlasini,Verulam,Key informant interview,Mixed,Adults_18_59_Years_Old,Children Mixed,isiZulu,We need toys for children,We need toys for children,10,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Non_sensitive,Action_needs_to_be_taken,Flood,,,,,,,
7,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field social mobilisation activities,Mixed,Mixed,Underlying_Illness Migrant,isiZulu,They want the department of home affairs to help them to make new ID cards,They want the department of home affairs to help them to make new ID cards,15,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
8,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field social mobilisation activities,Mixed,Mixed,Underlying_Illness Migrant,isiZulu,"They need baby stuffs like pampers, milk and clothes for the kids and for adults","They need baby stuffs like pampers, milk and clothes for the kids and for adults",1,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
9,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field social mobilisation activities,Mixed,Mixed,Underlying_Illness Migrant,isiZulu,The department of health provides them with the needs like pills and other stuffs,The department of health provides them with the needs like pills and other stuffs,1,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of activities services,Non_sensitive,"No_immediate_action_necessary,_general_monitoring,_review_and_action",Flood,,,,,,,
10,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field social mobilisation activities,Mixed,Mixed,Underlying_Illness Migrant,isiZulu,"There is a shortage of spoons and dishes, they would like to be provided with spoons and dishes","There is a shortage of spoons and dishes, they would like to be provided with spoons and dishes",3,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Action_needs_to_be_taken,Flood,,,,,,,
11,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Verulam,Mhlasini,Field social mobilisation activities,Mixed,Mixed,Underlying_Illness Migrant,isiZulu,There is shortageness of sponges and duvets,There is shortageness of sponges and duvets,5,Suggestions_Requests,Request_for_assistance_or_service,Request for assistance or service,Sensitive,Urgent_or_immediate_action_needs_to_be_taken,Flood,,,,,,,
12,2022-05-09,ZAF,KwaZulu-Natal,Ethekwini,Durban,eMhlasini,Field Monitoring,Female,Adults_18_59_Years_Old,Ethnic_Minority,isiZulu,We were able to get clothing although it wasn't enough.,We were able to get clothing although it wasn't enough.,1,Encouragement_Praise,Appreciation_of_response_actors,Appreciation of activities services,Sensitive,,Flood,,,,,,,
